Category ID,Category Name
7,שימורי עגבניות
8,שימורי פירות
9,שימורי אירוח וקינוח
10,שימורי ירקות
11,זיתים
12,ירקות מוחמצים
13,מלפפונים חמוצים
14,שימורי דגים
46,"תפוא קפוא  ח.ח """
47,בקר קפוא. לא מעובד כשרות רגילה ח.ח
48,עוף גולמי וחלקיו כשרות חלק קפוא ח.ח 
50,קמח וסולת
51,עוף מעובד קפוא כשרות רגילה ח.ח 
52,מצות
53,שמן כל הסוגים 
54,גלידות ושלגונים  וקרמבו  ח.חח
56,טיהור אוויר
57,סלטים ארוזים בקרור 
58,משקאות חריפים
59,כיסונים קפוא ח.ח 
62,אווז קפוא חלקים שונים ח.ח 
63,תחלפי בשר מין הטבע ח.ח 
65,בשר בקר מעובד חלק קפוא ח.ח 
70,כבש קפוא ח.ח 
74,דגים קפוא מעובד /מצופה /קציצות ח.1
75,בשר בקר מעובד קפוא כשרות רגילה ח.ח
77,וופלים
79,ירקות קפואים ח.ח 
80,פירות קפוא ח.ח 
81,בשר בקר טרי כולל טחון כל הכשריות 
82,עולם הרטבים
83,בקר קפוא חלק ח.ח 
84,חמאה/מדף
85,עוגות ומאפים אישיים
87,קובה קפוא ח.ח 
89,עוגות קרות וקפואות ח.ח 
90,בצקים שונים קפוא ח.ח 
91,סיגרים/פסטלים קפוא ח.ח 
92,פיצה קפוא ח.ח 
93,מלוח קפוא ח.ח 
94,עוגות בצק עלים קפואות ח.ח 
95,בורקס קפוא ח.ח 
96,"עוגיות וביסקוויטים, כולל עוגיות מלוחות"
97,גביעי גלידה
98,גחנון קפוא ח.ח
99,סבון נוזלי  ומוצק (ללא סבון תינוקות)
100,כלי בית*
101,90080216
102,מים מינרליים ומזוככים
103,חלבה 
104,היגיינה כללית
106,מטליות לחות לנקיון 
107,שקיות לעטיפה
108,מגבונים לחים לבית 
109,"חטיפים מתוקים, ביצי הפתעה ועדשים"
111,פסטה יבשה
112,בצק עלים קפוא ח.ח 
114,לחם
115,גלילים ויריעות לעטיפה 
116,היגיינה נשית
118,"חומרים להסרת שיער, שלא בגילוח"
119,עוף טרי מעובד
120,חשמל
121,פיצוחים ארוזים
122,חומרים לאפייה
124,ירקות טריים בקירור+עלים
126,כלים וסכום חד פעמיים וקשים לשתיה
128,שמנת  להקצפה/בישול מצונן
129,הלבשה
130,עלים לסיגר/בריק.ח.ח 
131,מזון אסייתי
132,חלב שתייה ותחליפים/מדף
133,פירות יבשים ארוזים
134,"מעדני חלב, מחיות פרי, ג`לי, מלבי ומוס בג"
135,משקאות מוגזים
136,גבינות/מדף
137,משקאות קלים
138,ממחטות אף
139,מיצים ונקטר טבעיים ומיצים טריים
141,ללא סוכר ללא מלח 
142,חיתולים
143,מוצרים כלליים לבית
145,חומרי ניקוי כללי לבית
146,נייר טואלט
148,מטליות רצפה ורב שימושיות
149,עוגיות מלוחות עבאדי
150,סלטי ומעדני דגים ארוזים
152,ללא גלוטן
153,מזון לחיות הבית
154,ניקוי אסלה וניאגרה
155,משקאות סודה
156,"דגני בוקר, גרנולה ושיבולת שועל (ללא חטיפ"
157,יינות
158,"גבינות שמנת, כולל דלות שומן/מעדניה"
159,מפות ומפיות מנייר
160,גבינות צהובות ומותכות/מעדניה
161,גבינות רכות ולבנה/מעדניה
162,ירקות טריים
164,גבינות מיוחדות/מעדניה
165,גבינות מלוחות /מעדניה
166,"בונבוניירה, מטבעות שוקולד ומארזים מתוקים"
168,יוגורט כל הסוגים  מדף
170,מגבות נייר
171,ריבות וקונפיטורות
175,עולם התיבול
177,מזון אורגני
180,בירה
181,שמפו ומרכך (ללא שמפו תינוקות)
184,מגשיות אלומיניום
186,90080221
187,סיגריות ת הארץ 
189,90080205
190,כעכים מלוחים וגריסיני
195,ממרחים מלוחים
197,"חטיפים מלוחים, כולל חטיפים במתיקות חלקית"
198,ממרחים מתוקים לילדים
203,פסטרמה מצונן מעדניה
204,תה וחליטות
205,סיגריות ת חוץ 
206,90080211
207,משחות שיניים
209,90080217
210,90080215
211,בשר מעובד טרי/קציצות
212,90080212
213,תה קר
217,ניקוי תנורים ומסירי שומן
218,ניקוי רצפה
222, קבנוס מצונן תלוי וארוז
223,מעדני סויה/מדף
227,נקנקיות ארוזות מצונן
228,לבן ואשל/מדף
229,מרגרינה/מדף
231,משקאות מוחמצים
232,משקאות חלב בטעמים ותחליפים/מדף
233,"קפה קלוי ונמס, תחליפי קפה ותערובות קפה"
234,"גבינות סויה, טופו ואנלוגיות/מדף"
236,נקניק ופסטרמה מצונן ארוזים
238,משקאות אלכוהוליים בטעמים
240,סודה קלאב
243,סוכריות
244,שמנת חמוצה/מדף
245,חטיפי דגנים כל הסוגים
249,חומץ/מיצ לימון
251,חמאה מעדניה
253,מעדני בשר ארוזים
256,נקניקים שלמים מצונן מדף /תלוי
257,קטניות ארוזות 
260,עזרי ניקוי אחרים
261,בייצים
264,נייר אפייה
265,קוטלי חרקים
266,טיפול בבדים ונעליים לא כולל כביסה
267,שקיות צלייה
268,ניקוי רהיטים
269,ניקוי חלונות
270,כפפות גומי
271,ניקוי אמבטיה
273,מוצרים ואביזרים לתינוק
274,תכשירים לתינוק
275,מכשירים סכינים וקצף להסרת שיער בגילוח
276,טיפול פנים
277,מגבונים לתינוק
278,שקיות אשפה
279,דאודורנטים
280,תכשירי שיזוף
281,טיפול גוף
282,קרמים לגוף
284,היגיינה נשית אחר
285,...
286,שמפו לתינוק
287,עזרים להיגיינת הפה
288,שטיפה ורענון לפה
289,צבע שיער וחינה
290,עיצוב שיער
291,מברשות שיניים
292,טיפוח שיער
296,תוספי מזון וויטמינים
298,ניקוי שטיחים
301,משקאות אנרגיה אישי קטן
302,סבון נוזלי לתינוק
303,משקאות קרים לא מוכנים לשתייה
305,פחמים
306,ארוחות מוכנות משפחתיות
307,מיץ ענבים לקידוש 
308,מזון לתינוק - מוכן לאכילה
309,מזון לתינוק - אינו מוכן לאכילה (ללא תחלי
310,אבקות להכנת שוקו
311,מרקים משפחתיים
313,ארוחות מלאות ותוספות משפחתיות
314,בירה שחורה
315,מרקים אישיים
316,אורז
317,חומרים אחרים להכנת מזון
318,תחליפי חלב אם
320,ארוחות מלאות ותוספות אישיות
321,תוספים למרק ולסלט
322,"מלח, סוכר וממתיקים מלאכותיים"
324,דבש
325,קוסקוס
326,פופקורן
328,ותערובות לעוגות ולחם
331,דטרגנטים לכביסה במכונה
332,קרקרים (כולל מיני קרקרים)
333,גומי לעיסה
334,מרככי כביסה נוזליים
335,טבלאות שוקולד
338,סילאן
339,תחליפי לחם
340,"סירופ שוקולד, מייפל ואחרים"
344,פירות קפואים
347,חומרי ניקוי לכלים במדיח כלים
348,תוספים למדיח כלים
349,"מסירי כתמים, מלבינים ומגני צבע לכביסה"
350,דטרגנטים לכביסה ביד
351,דפים למייבש כביסה
352,חומרי ניקוי למכשיר הדחת הכלים
353,מסירי אבנית למכונת הכביסה
355,ניקוי כלים ידני
1222,דגים אמנון קפוא ח 1
1223,דגים סלמון קפוא ח.1
1225,דגים מרלוזה קפוא ח.1
